epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,44.4599,0.92307,2.59633,3.36116,1.16118,0,0.07274,0.38433,0.30696,0.2486,0.07504,0.56219,0.31398,0.24834,0.55794,1.16706,3.49308,0.80007,0,0.00021109,0.00021109,0.00021109
2,89.4421,0.85312,1.61332,1.8007,1.10558,0,0.83134,0.20525,0.25662,0.20357,0.83737,0.20899,0.26449,0.22973,0.75184,1.25877,2.60702,0.85072,0,0.000404693,0.000404693,0.000404693
3,134.762,0.8163,1.56158,1.42435,1.06767,0,0.86811,0.29478,0.32549,0.2386,0.86811,0.29478,0.33372,0.25973,0.84303,1.24342,2.29772,0.88573,0,0.000568965,0.000568965,0.000568965
4,183.31,0.82607,1.44049,1.34322,1.06244,0,0.86082,0.29989,0.33646,0.2813,0.86082,0.29989,0.33966,0.285,0.71562,1.15341,2.01588,0.84646,0,0.000703907,0.000703907,0.000703907
5,229.607,0.8132,1.3673,1.22715,1.04087,0,0.85295,0.35824,0.35517,0.28745,0.85295,0.35824,0.35622,0.30082,0.73851,1.20886,1.7126,0.8527,0,0.000809519,0.000809519,0.000809519
6,277.026,0.79878,1.20298,1.90977,1.09589,0,0.80687,0.23717,0.25234,0.18838,0.80687,0.23717,0.25435,0.21649,0.85231,1.09013,2.21442,0.91194,0,0.00074437,0.00074437,0.00074437
7,326.218,0.74744,1.18984,1.6485,1.04226,0,0.88802,0.3806,0.3636,0.30132,0.88802,0.3806,0.3697,0.31384,0.68731,1.01113,1.56155,0.83924,0,0.000671044,0.000671044,0.000671044
8,371.943,0.70369,1.03685,1.4986,1.00137,0,0.8678,0.41523,0.36475,0.28582,0.86793,0.41581,0.36693,0.29138,0.7336,1.25884,1.48247,0.85763,0,0.000597718,0.000597718,0.000597718
9,419.709,0.71142,1.05256,1.47892,0.99819,0,0.87065,0.41418,0.37052,0.3018,0.87065,0.41418,0.37842,0.31344,0.71017,0.98026,1.48185,0.85147,0,0.000524392,0.000524392,0.000524392
10,466.802,0.693,1.03401,1.4036,0.98535,0,0.87944,0.41418,0.36323,0.30335,0.88286,0.41791,0.37501,0.31955,0.63545,0.85718,1.39965,0.83232,0,0.000451066,0.000451066,0.000451066
11,510.757,0.69036,1.00202,1.33398,0.9916,0,0.88071,0.42537,0.38551,0.33456,0.88071,0.42537,0.38795,0.32476,0.5915,0.8426,1.32639,0.86234,0,0.00037774,0.00037774,0.00037774
12,556.91,0.63425,1.01167,1.26526,0.98982,0,0.88433,0.44632,0.40607,0.35661,0.90331,0.42022,0.4055,0.33829,0.58004,0.82148,1.26916,0.86243,0,0.000304414,0.000304414,0.000304414
13,619.039,0.63202,0.97152,1.21874,0.98912,0,0.89275,0.45094,0.4134,0.36009,0.88627,0.44354,0.4117,0.34641,0.57525,0.81768,1.24707,0.84865,0,0.000231088,0.000231088,0.000231088
14,671.098,0.62138,1.07394,1.25475,0.97749,0,0.89273,0.45149,0.40824,0.36019,0.8894,0.44776,0.40681,0.3427,0.56198,0.84866,1.23268,0.83879,0,0.000157762,0.000157762,0.000157762
15,716.016,0.61455,0.94186,1.24397,0.97993,0,0.88909,0.45149,0.40593,0.36111,0.88958,0.44761,0.40443,0.3429,0.53472,0.87918,1.21775,0.8341,0,8.4436e-05,8.4436e-05,8.4436e-05
